iter	Passed	Remaining
0	1	153
1	2	140
2	4	130
3	5	121
4	6	119
5	7	117
6	8	116
7	9	114
8	11	113
9	12	113
10	13	111
11	15	110
12	16	108
13	17	106
14	18	104
15	19	103
16	21	102
17	22	101
18	23	99
19	24	98
20	25	96
21	26	95
22	28	94
23	29	92
24	30	91
25	31	90
26	32	89
27	34	88
28	35	86
29	36	85
30	37	84
31	39	83
32	40	82
33	41	81
34	43	79
35	44	78
36	45	77
37	46	76
38	47	75
39	49	73
40	50	72
41	50	70
42	52	68
43	53	67
44	54	66
45	55	65
46	56	64
47	58	63
48	59	61
49	60	60
50	61	59
51	62	58
52	64	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	71	49
59	72	48
60	73	47
61	74	45
62	75	44
63	77	43
64	78	42
65	79	40
66	80	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	95	25
79	96	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	17
86	105	15
87	107	14
88	108	13
89	109	12
90	111	11
91	112	9
92	114	8
93	115	7
94	116	6
95	117	4
96	119	3
97	120	2
98	121	1
99	123	0
